data_entrada,hora_entrada,dia_semana,sessao,direcao,entrada,stop,alvo,lote,rafi,bb_width,bb_abrindo,ma_diff,nivel_sr,resultado,pnl_usd,pips,r_r_realizado,duracao_min,capital_antes,capital_apos,motivo_saida,config_hash
2025-01-06,14:05,Seg,Londres/NY,BUY,1.03232,1.03199,1.03281,0.4,1.75,0.00072,Sim,,1.03232,WIN,20.2,5.1,1.55,90,100.0,120.2,Take-profit atingido @ 1.03289,47e01c88
2025-01-06,15:35,Seg,Londres/NY,BUY,1.03283,1.03251,1.03331,0.4,2.239,0.00115,Sim,,1.03283,LOSS,-17.4,-4.3,-1.34,35,120.2,102.8,Stop-loss atingido @ 1.03246,47e01c88
2025-01-06,20:00,Seg,NY,SELL,1.03289,1.03315,1.0325,0.4,2.679,0.00076,Sim,,1.03289,WIN,13.4,3.4,1.31,10,102.8,116.2,Take-profit atingido @ 1.03249,47e01c88
2025-01-06,23:10,Seg,Fora,SELL,1.03151,1.0317,1.03122,0.4,2.387,0.00041,Sim,,1.03151,WIN,9.0,2.2,1.16,75,116.2,125.2,Take-profit atingido @ 1.03122,47e01c88
2025-01-07,01:40,Ter,Asia,BUY,1.03167,1.03145,1.032,0.4,2.453,0.00038,Sim,,1.03167,WIN,12.6,3.1,1.41,20,125.2,137.8,Take-profit atingido @ 1.03205,47e01c88
2025-01-07,04:25,Ter,Asia,SELL,1.03148,1.03169,1.03116,0.4,2.799,0.00031,Sim,,1.03148,WIN,10.6,2.6,1.24,140,137.8,148.4,Take-profit atingido @ 1.03115,47e01c88
2025-01-07,07:00,Ter,Londres,SELL,1.03111,1.03143,1.03063,0.4,3.472,0.0003,Sim,,1.03111,WIN,17.8,4.5,1.41,80,148.4,166.2,Take-profit atingido @ 1.03060,47e01c88
2025-01-07,08:20,Ter,Londres,SELL,1.03064,1.03089,1.03026,0.7,0.292,0.00073,Sim,,1.03064,WIN,22.05,3.2,1.28,20,166.2,188.25,Take-profit atingido @ 1.03026,47e01c88
2025-01-07,09:50,Ter,Londres,BUY,1.03122,1.03087,1.03175,0.7,1.88,0.00078,Sim,,1.03122,WIN,36.75,5.2,1.49,20,188.25,225.0,Take-profit atingido @ 1.03181,47e01c88
2025-01-07,11:00,Ter,Londres,BUY,1.03254,1.03219,1.03307,1.0,3.112,0.00057,Sim,,1.03254,WIN,64.5,6.5,1.86,60,225.0,289.5,Take-profit atingido @ 1.03325,47e01c88
2025-01-07,12:00,Ter,Londres/NY,BUY,1.03312,1.03278,1.03363,1.0,2.596,0.00084,Sim,,1.03312,LOSS,-40.5,-4.0,-1.18,30,289.5,249.0,Stop-loss atingido @ 1.03278,47e01c88
2025-01-07,15:20,Ter,Londres/NY,BUY,1.03294,1.03271,1.03328,1.0,2.401,0.00086,Sim,,1.03294,WIN,29.5,3.0,1.30,30,249.0,278.5,Take-profit atingido @ 1.03330,47e01c88
2025-01-07,16:00,Ter,Londres/NY,BUY,1.03348,1.03307,1.0341,1.0,1.966,0.00061,Sim,,1.03348,WIN,58.5,5.9,1.44,105,278.5,337.0,Take-profit atingido @ 1.03413,47e01c88
2025-01-07,18:40,Ter,NY,BUY,1.03439,1.03412,1.03479,1.0,2.359,0.00042,Sim,,1.03439,WIN,39.5,4.0,1.48,170,337.0,376.5,Take-profit atingido @ 1.03485,47e01c88
2025-01-07,22:35,Ter,Fora,BUY,1.03525,1.035,1.03562,1.0,2.575,0.00041,Sim,,1.03525,WIN,32.5,3.2,1.28,60,376.5,409.0,Take-profit atingido @ 1.03564,47e01c88
2025-01-07,23:40,Ter,Fora,BUY,1.03564,1.03545,1.03592,2.0,1.377,0.00036,Sim,,1.03564,WIN,47.0,2.4,1.26,90,409.0,456.0,Take-profit atingido @ 1.03594,47e01c88
2025-01-08,03:45,Qua,Asia,SELL,1.03559,1.03578,1.03531,2.0,3.023,0.00031,Sim,,1.03559,WIN,45.0,2.2,1.16,15,456.0,501.0,Take-profit atingido @ 1.03530,47e01c88
2025-01-08,05:40,Qua,Asia,SELL,1.03527,1.03549,1.03494,2.0,2.449,0.00044,Sim,,1.03527,WIN,63.0,3.1,1.41,80,501.0,564.0,Take-profit atingido @ 1.03489,47e01c88
2025-01-08,07:00,Qua,Londres,SELL,1.03507,1.03535,1.03465,2.0,4.332,0.00059,Sim,,1.03507,WIN,79.0,3.9,1.39,45,564.0,643.0,Take-profit atingido @ 1.03461,47e01c88
2025-01-08,08:05,Qua,Londres,SELL,1.03449,1.03489,1.03389,2.0,2.249,0.0007,Sim,,1.03449,LOSS,-109.0,-5.5,-1.38,85,643.0,534.0,Stop-loss atingido @ 1.03497,47e01c88
2025-01-08,09:30,Qua,Londres,BUY,1.03491,1.03461,1.03536,2.0,2.836,0.00094,Sim,,1.03491,LOSS,-75.0,-3.8,-1.27,35,534.0,459.0,Stop-loss atingido @ 1.03460,47e01c88
2025-01-08,10:20,Qua,Londres,SELL,1.03406,1.03445,1.03347,1.0,3.021,0.00141,Sim,,1.03406,WIN,64.5,6.5,1.67,25,459.0,523.5,Take-profit atingido @ 1.03335,47e01c88
2025-01-08,11:30,Qua,Londres,SELL,1.03328,1.03362,1.03277,2.0,1.803,0.00087,Sim,,1.03328,WIN,121.0,6.0,1.76,55,523.5,644.5,Take-profit atingido @ 1.03261,47e01c88
2025-01-08,12:25,Qua,Londres/NY,SELL,1.03268,1.0331,1.03205,2.0,2.158,0.00092,Sim,,1.03268,WIN,119.0,6.0,1.43,510,644.5,763.5,Take-profit atingido @ 1.03202,47e01c88
2025-01-08,21:20,Qua,NY,SELL,1.03188,1.03217,1.03144,2.0,2.415,0.00042,Sim,,1.03188,LOSS,-79.0,-4.0,-1.38,235,763.5,684.5,Stop-loss atingido @ 1.03221,47e01c88
2025-01-09,01:15,Qui,Asia,BUY,1.03213,1.03194,1.03241,2.0,3.043,0.00031,Sim,,1.03213,WIN,45.0,2.2,1.16,25,684.5,729.5,Take-profit atingido @ 1.03242,47e01c88
2025-01-09,03:35,Qui,Asia,SELL,1.03232,1.03251,1.03203,2.0,1.312,0.00039,Sim,,1.03232,LOSS,-53.0,-2.7,-1.42,35,729.5,676.5,Stop-loss atingido @ 1.03252,47e01c88
2025-01-09,04:45,Qui,Asia,BUY,1.03261,1.03239,1.03294,2.0,1.966,0.00032,Sim,,1.03261,WIN,57.0,2.9,1.32,105,676.5,733.5,Take-profit atingido @ 1.03296,47e01c88
2025-01-09,06:40,Qui,Asia,BUY,1.03302,1.03278,1.03338,2.0,3.325,0.00034,Sim,,1.03302,LOSS,-101.0,-5.0,-2.08,70,733.5,632.5,Stop-loss atingido @ 1.03258,47e01c88
2025-01-09,07:50,Qui,Londres,SELL,1.03273,1.03305,1.03225,2.0,2.912,0.0007,Sim,,1.03273,WIN,99.0,4.9,1.53,15,632.5,731.5,Take-profit atingido @ 1.03217,47e01c88
2025-01-09,08:50,Qui,Londres,BUY,1.03321,1.03295,1.0336,2.0,2.516,0.00133,Sim,,1.03321,WIN,85.0,4.3,1.65,10,731.5,816.5,Take-profit atingido @ 1.03370,47e01c88
2025-01-09,10:25,Qui,Londres,BUY,1.03446,1.0341,1.035,4.0,4.246,0.00046,Sim,,1.03446,WIN,210.0,5.3,1.47,80,816.5,1026.5,Take-profit atingido @ 1.03505,47e01c88
2025-01-09,11:45,Qui,Londres,BUY,1.03497,1.03454,1.03562,4.0,3.047,0.00098,Sim,,1.03497,LOSS,-218.0,-5.5,-1.28,110,1026.5,808.5,Stop-loss atingido @ 1.03449,47e01c88
2025-01-09,13:35,Qui,Londres/NY,SELL,1.03452,1.03483,1.03406,2.0,2.353,0.00059,Sim,,1.03452,WIN,87.0,4.4,1.42,110,808.5,895.5,Take-profit atingido @ 1.03402,47e01c88
2025-01-09,15:55,Qui,Londres/NY,BUY,1.03472,1.03452,1.03502,4.0,2.001,0.00102,Sim,,1.03472,WIN,126.0,3.1,1.55,25,895.5,1021.5,Take-profit atingido @ 1.03510,47e01c88
2025-01-09,17:10,Qui,NY,BUY,1.03549,1.03525,1.03585,4.0,2.042,0.00053,Sim,,1.03549,WIN,122.0,3.0,1.25,15,1021.5,1143.5,Take-profit atingido @ 1.03586,47e01c88
2025-01-09,19:40,Qui,NY,SELL,1.0351,1.03535,1.03472,4.0,3.073,0.00041,Sim,,1.0351,WIN,138.0,3.4,1.36,15,1143.5,1281.5,Take-profit atingido @ 1.03469,47e01c88
2025-01-09,20:40,Qui,NY,SELL,1.03459,1.0348,1.03427,4.0,2.305,0.00047,Sim,,1.03459,WIN,142.0,3.5,1.67,15,1281.5,1423.5,Take-profit atingido @ 1.03417,47e01c88
2025-01-09,22:20,Qui,Fora,BUY,1.03508,1.03487,1.0354,4.0,2.112,0.00055,Sim,,1.03508,LOSS,-126.0,-3.2,-1.52,60,1423.5,1297.5,Stop-loss atingido @ 1.03483,47e01c88
2025-01-10,01:45,Sex,Asia,BUY,1.03511,1.03489,1.03544,4.0,3.19,0.00046,Sim,,1.03511,WIN,134.0,3.3,1.50,110,1297.5,1431.5,Take-profit atingido @ 1.03551,47e01c88
2025-01-10,03:35,Sex,Asia,BUY,1.03544,1.03517,1.03584,4.0,2.8,0.00041,Sim,,1.03544,WIN,142.0,3.6,1.33,155,1431.5,1573.5,Take-profit atingido @ 1.03586,47e01c88
2025-01-10,06:10,Sex,Asia,BUY,1.03578,1.03553,1.03615,8.0,2.671,0.00063,Sim,,1.03578,LOSS,-324.0,-4.0,-1.60,85,1573.5,1249.5,Stop-loss atingido @ 1.03544,47e01c88
2025-01-10,07:50,Sex,Londres,SELL,1.03528,1.0355,1.03495,4.0,2.648,0.00113,Sim,,1.03528,LOSS,-162.0,-4.0,-1.82,55,1249.5,1087.5,Stop-loss atingido @ 1.03562,47e01c88
2025-01-10,09:15,Sex,Londres,SELL,1.03485,1.0352,1.03433,2.0,2.459,0.00107,Sim,,1.03485,LOSS,-83.0,-4.1,-1.17,80,1087.5,1004.5,Stop-loss atingido @ 1.03520,47e01c88
