data,hora,ano,sessao,direcao,entrada,stop,alvo,lote,resultado,pnl_usd,capital_apos
2000-05-31,07:20,2000,,sell,0.9304,0,0,0.01,WIN,0.37,20.37
2000-05-31,08:50,2000,,buy,0.9313,0,0,0.01,WIN,0.08,20.45
2000-05-31,09:40,2000,,buy,0.9321,0,0,0.01,WIN,0.23,20.68
2000-05-31,20:00,2000,,buy,0.9372,0,0,0.01,WIN,0.22,20.9
2000-05-31,20:55,2000,,sell,0.9365,0,0,0.01,WIN,0.08,20.98
2000-05-31,23:05,2000,,buy,0.9366,0,0,0.01,WIN,0.22,21.2
2000-05-31,23:55,2000,,buy,0.9373,0,0,0.01,WIN,-0.08,21.12
2000-06-01,08:30,2000,,sell,0.9327,0,0,0.01,WIN,0.53,21.65
2000-06-01,12:55,2000,,sell,0.9297,0,0,0.01,LOSS,-0.75,20.9
2000-06-01,14:40,2000,,buy,0.9327,0,0,0.01,WIN,0.22,21.12
2000-06-01,20:20,2000,,buy,0.9322,0,0,0.01,WIN,0.38,21.5
2000-06-01,21:40,2000,,sell,0.9314,0,0,0.01,WIN,0.38,21.88
2000-06-02,00:30,2000,,buy,0.9315,0,0,0.01,LOSS,-0.05,21.83
2000-06-05,00:35,2000,,buy,0.9451,0,0,0.01,WIN,0.38,22.21
2000-06-05,02:15,2000,,sell,0.9444,0,0,0.01,WIN,0.52,22.73
2000-06-05,07:30,2000,,sell,0.9432,0,0,0.01,WIN,0.22,22.95
2000-06-05,17:10,2000,,sell,0.9477,0,0,0.01,WIN,0.83,23.78
2000-06-05,18:35,2000,,sell,0.9469,0,0,0.01,WIN,0.22,24.0
2000-06-05,19:50,2000,,sell,0.9463,0,0,0.01,WIN,-0.08,23.92
2000-06-06,01:10,2000,,buy,0.9464,0,0,0.01,WIN,0.08,24.0
2000-06-06,03:35,2000,,buy,0.9481,0,0,0.01,WIN,1.28,25.28
2000-06-06,07:30,2000,,buy,0.9475,0,0,0.01,WIN,0.68,25.96
2000-06-06,15:50,2000,,sell,0.9543,0,0,0.01,LOSS,-0.35,25.61
2000-06-06,17:25,2000,,sell,0.9541,0,0,0.01,LOSS,-0.25,25.36
2000-06-06,23:45,2000,,sell,0.9539,0,0,0.01,LOSS,0.05,25.41
2000-06-07,14:35,2000,,buy,0.962,0,0,0.01,LOSS,-0.35,25.06
2000-06-07,15:25,2000,,buy,0.9621,0,0,0.01,WIN,0.08,25.14
2000-06-07,20:00,2000,,sell,0.9594,0,0,0.01,WIN,0.82,25.96
2000-06-08,02:30,2000,,sell,0.9587,0,0,0.01,LOSS,1.15,27.11
2000-06-08,18:10,2000,,sell,0.956,0,0,0.01,WIN,-0.82,26.29
2000-06-09,02:10,2000,,sell,0.9545,0,0,0.01,LOSS,-0.05,26.24
2000-06-12,01:55,2000,,sell,0.9501,0,0,0.01,LOSS,-0.55,25.69
2000-06-12,03:15,2000,,buy,0.9507,0,0,0.01,WIN,0.82,26.51
